LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ISL,CPIFORECAST,TOT,AGRWTH,A,2018,2.682915085,
ISL,CPIFORECAST,TOT,AGRWTH,A,2019,3.030161998,
ISL,CPIFORECAST,TOT,AGRWTH,A,2020,2.352532756,
ISL,CPIFORECAST,TOT,AGRWTH,A,2021,2.090656097,
JPN,CPIFORECAST,TOT,AGRWTH,A,2015,0.78951789,
,CPIFORECAST,TOT,AGRWTH,A,2016,-0.116666667,
JPN,CPIFORECAST,TOT,AGRWTH,A,2017,0.467211747,
JPN,CPIFORECAST,TOT,AGRWTH,A,2018,0.988207939,
JPN,,TOT,AGRWTH,A,2019,0.609851623,
JPN,CPIFORECAST,TOT,AGRWTH,A,2020,1.064059775,
JPN,CPIFORECAST,TOT,AGRWTH,A,2021,1.248417783,
KOR,CPIFORECAST,TOT,AGRWTH,A,2015,0.70620817,
KOR,CPIFORECAST,TOT,AGRWTH,A,2016,0.971674764,
KOR,CPIFORECAST,TOT,AGRWTH,A,2017,1.944455907,
KOR,CPIFORECAST,TOT,AGRWTH,A,2018,1.475862404,
KOR,CPIFORECAST,TOT,AGRWTH,A,2019,0.283080205,
KOR,CPIFORECAST,TOT,AGRWTH,A,2020,1.050693213,
KOR,CPIFORECAST,TOT,AGRWTH,A,2021,1.428059042,
MEX,CPIFORECAST,TOT,AGRWTH,A,2015,2.720641263,
MEX,CPIFORECAST,TOT,AGRWTH,A,2016,,
MEX,CPIFORECAST,TOT,AGRWTH,,2017,6.041455823,
MEX,CPIFORECAST,TOT,AGRWTH,A,2018,4.899350966,
MEX,CPIFORECAST,TOT,AGRWTH,A,2019,3.546401294,
MEX,CPIFORECAST,TOT,AGRWTH,A,2020,2.702124135,
MEX,CPIFORECAST,TOT,AGRWTH,A,2021,2.712467935,
NZL,CPIFORECAST,TOT,AGRWTH,A,2015,0.292703309,
NZL,CPIFORECAST,TOT,AGRWTH,A,2016,0.646237225,
NZL,CPIFORECAST,TOT,AGRWTH,A,2017,1.850787071,
NZL,CPIFORECAST,TOT,AGRWTH,A,2018,1.59829795,
NZL,CPIFORECAST,TOT,AGRWTH,A,2019,1.549306854,
NZL,CPIFORECAST,TOT,AGRWTH,A,2020,1.862161804,
NZL,CPIFORECAST,TOT,AGRWTH,A,2021,1.881331882,
NOR,CPIFORECAST,TOT,AGRWTH,A,2015,2.171136654,
NOR,,TOT,AGRWTH,A,2016,3.55,
NOR,CPIFORECAST,TOT,AGRWTH,A,2017,,
NOR,CPIFORECAST,TOT,AGRWTH,A,2018,2.748815166,
NOR,CPIFORECAST,TOT,AGRWTH,A,2019,2.323944159,
NOR,CPIFORECAST,TOT,AGRWTH,A,2020,1.957659833,
NOR,CPIFORECAST,TOT,AGRWTH,A,2021,2.17511029,
POL,CPIFORECAST,TOT,AGRWTH,A,2015,-0.874125874,
POL,CPIFORECAST,TOT,AGRWTH,A,2016,-0.664767331,
,CPIFORECAST,TOT,AGRWTH,A,2017,2.075935537,
POL,CPIFORECAST,TOT,AGRWTH,A,2018,1.812951563,
POL,CPIFORECAST,TOT,AGRWTH,A,2019,2.29068452,
POL,CPIFORECAST,TOT,AGRWTH,A,2020,2.913684297,
POL,CPIFORECAST,TOT,AGRWTH,A,2021,2.82752777,
SWE,CPIFORECAST,TOT,AGRWTH,A,2015,-0.046784745,
SWE,CPIFORECAST,TOT,AGRWTH,A,2016,0.984269245,
SWE,CPIFORECAST,TOT,AGRWTH,A,2017,1.794499047,
SWE,CPIFORECAST,TOT,AGRWTH,A,2018,1.953535301,
SWE,CPIFORECAST,TOT,AGRWTH,A,2019,1.778803502,
SWE,CPIFORECAST,TOT,AGRWTH,A,2020,1.797385408,
SWE,CPIFORECAST,TOT,AGRWTH,A,2021,1.812186491,
CHE,CPIFORECAST,TOT,AGRWTH,A,2015,-1.143900644,
CHE,CPIFORECAST,TOT,AGRWTH,A,2016,-0.434607639,
CHE,CPIFORECAST,TOT,AGRWTH,A,2017,0.533795988,
CHE,CPIFORECAST,TOT,AGRWTH,A,2018,0.936313303,
CHE,CPIFORECAST,TOT,AGRWTH,A,2019,0.426366642,
CHE,CPIFORECAST,TOT,AGRWTH,A,2020,0.380730344,
CHE,CPIFORECAST,TOT,AGRWTH,A,2021,0.966986816,
TUR,CPIFORECAST,TOT,AGRWTH,A,2015,7.670853648,
TUR,CPIFORECAST,TOT,AGRWTH,A,2016,7.775134153,
TUR,CPIFORECAST,TOT,AGRWTH,A,2017,11.14431108,
TUR,CPIFORECAST,TOT,AGRWTH,A,2018,16.3324639,
TUR,CPIFORECAST,TOT,AGRWTH,A,2019,15.76441219,
TUR,CPIFORECAST,TOT,AGRWTH,A,2020,13.16470621,
TUR,CPIFORECAST,TOT,AGRWTH,A,2021,10.02174411,
USA,CPIFORECAST,TOT,AGRWTH,A,2015,0.119482641,
USA,CPIFORECAST,TOT,AGRWTH,A,2016,1.270018643,
USA,CPIFORECAST,TOT,AGRWTH,A,2017,2.135937971,
USA,CPIFORECAST,TOT,AGRWTH,A,2018,2.435401022,
USA,CPIFORECAST,TOT,AGRWTH,A,2019,1.782802296,
USA,CPIFORECAST,TOT,AGRWTH,A,2020,2.167572832,
USA,CPIFORECAST,TOT,AGRWTH,A,2021,2.106976456,
BRA,CPIFORECAST,TOT,AGRWTH,A,2015,9.029884313,
BRA,CPIFORECAST,TOT,AGRWTH,A,2016,8.739133045,
BRA,CPIFORECAST,TOT,AGRWTH,A,2017,3.44637335,
BRA,CPIFORECAST,TOT,AGRWTH,A,2018,3.664850284,
BRA,CPIFORECAST,TOT,AGRWTH,A,2019,3.702766667,
BRA,CPIFORECAST,TOT,AGRWTH,A,2020,3.130326879,
BRA,CPIFORECAST,TOT,AGRWTH,A,2021,3.638255911,
CHL,CPIFORECAST,TOT,AGRWTH,A,2015,4.348773532,
CHL,CPIFORECAST,TOT,AGRWTH,A,2016,3.786193559,
CHL,CPIFORECAST,TOT,AGRWTH,A,2017,2.182718469,
CHL,CPIFORECAST,TOT,AGRWTH,A,2018,2.434889814,
CHL,CPIFORECAST,TOT,AGRWTH,A,2019,2.429884946,
CHL,CPIFORECAST,TOT,AGRWTH,A,2020,2.513638162,
CHL,CPIFORECAST,TOT,AGRWTH,A,2021,3.008814031,
CHN,CPIFORECAST,TOT,AGRWTH,A,2015,1.542431703,
CHN,CPIFORECAST,TOT,AGRWTH,A,2016,2.120335249,
CHN,CPIFORECAST,TOT,AGRWTH,A,2017,1.517565963,
CHN,CPIFORECAST,TOT,AGRWTH,A,2018,1.926824712,
CHN,CPIFORECAST,TOT,AGRWTH,A,2019,2.532320879,
CHN,CPIFORECAST,TOT,AGRWTH,A,2020,2.206980138,
CHN,CPIFORECAST,TOT,AGRWTH,A,2021,1.925248148,
IND,CPIFORECAST,TOT,AGRWTH,A,2015,4.901577391,
IND,CPIFORECAST,TOT,AGRWTH,A,2016,4.521894354,
IND,CPIFORECAST,TOT,AGRWTH,A,2017,3.583743802,
IND,CPIFORECAST,TOT,AGRWTH,A,2018,3.413919457,
IND,CPIFORECAST,TOT,AGRWTH,A,2019,3.482423471,
IND,CPIFORECAST,TOT,AGRWTH,A,2020,3.923752517,
IND,CPIFORECAST,TOT,AGRWTH,A,2021,4.150734568,
IDN,CPIFORECAST,TOT,AGRWTH,A,2015,6.363121131,
IDN,CPIFORECAST,TOT,AGRWTH,A,2016,3.525805157,
IDN,CPIFORECAST,TOT,AGRWTH,A,2017,3.80879807,
IDN,CPIFORECAST,TOT,AGRWTH,A,2018,3.198346416,
IDN,CPIFORECAST,TOT,AGRWTH,A,2019,3.200513578,
IDN,CPIFORECAST,TOT,AGRWTH,A,2020,3.485654218,
IDN,CPIFORECAST,TOT,AGRWTH,A,2021,3.384146123,
ISR,CPIFORECAST,TOT,AGRWTH,A,2015,-0.632490013,
ISR,CPIFORECAST,TOT,AGRWTH,A,2016,-0.54438861,
ISR,CPIFORECAST,TOT,AGRWTH,A,2017,0.244210526,
ISR,CPIFORECAST,TOT,AGRWTH,A,2018,0.814852151,
ISR,CPIFORECAST,TOT,AGRWTH,A,2019,0.878253268,
ISR,CPIFORECAST,TOT,AGRWTH,A,2020,1.082216366,
ISR,CPIFORECAST,TOT,AGRWTH,A,2021,1.689428893,
RUS,CPIFORECAST,TOT,AGRWTH,A,2015,15.53439931,
RUS,CPIFORECAST,TOT,AGRWTH,A,2016,7.042435565,
RUS,CPIFORECAST,TOT,AGRWTH,A,2017,3.683334392,
RUS,CPIFORECAST,TOT,AGRWTH,A,2018,2.878305378,
RUS,CPIFORECAST,TOT,AGRWTH,A,2019,4.871229974,
RUS,CPIFORECAST,TOT,AGRWTH,A,2020,3.997533954,
RUS,CPIFORECAST,TOT,AGRWTH,A,2021,4.037932969,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2015,4.575163399,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2016,6.34057971,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2017,5.272572402,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2018,4.620114895,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2019,4.189067957,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2020,4.588729805,
ZAF,CPIFORECAST,TOT,AGRWTH,A,2021,4.544926929,
OECD,CPIFORECAST,TOT,AGRWTH,A,2015,0.704720225,
OECD,CPIFORECAST,TOT,AGRWTH,A,2016,1.030585361,
OECD,CPIFORECAST,TOT,AGRWTH,A,2017,2.20299433,
OECD,CPIFORECAST,TOT,AGRWTH,A,2018,2.579015713,
OECD,CPIFORECAST,TOT,AGRWTH,A,2019,1.970176304,
OECD,CPIFORECAST,TOT,AGRWTH,A,2020,2.161702432,
OECD,CPIFORECAST,TOT,AGRWTH,A,2021,2.183991858,
COL,CPIFORECAST,TOT,AGRWTH,A,2015,4.990108616,
COL,CPIFORECAST,TOT,AGRWTH,A,2016,7.513087822,
COL,CPIFORECAST,TOT,AGRWTH,A,2017,4.314758507,
COL,CPIFORECAST,TOT,AGRWTH,A,2018,3.240616159,
COL,CPIFORECAST,TOT,AGRWTH,A,2019,3.498602643,
COL,CPIFORECAST,TOT,AGRWTH,A,2020,3.597994723,
COL,CPIFORECAST,TOT,AGRWTH,A,2021,3.012348286,
AUT,CPIFORECAST,TOT,AGRWTH,A,2015,0.804757985,
AUT,CPIFORECAST,TOT,AGRWTH,A,2016,0.970833333,
AUT,CPIFORECAST,TOT,AGRWTH,A,2017,2.23084224,
AUT,CPIFORECAST,TOT,AGRWTH,A,2018,2.119998708,
AUT,CPIFORECAST,TOT,AGRWTH,A,2019,1.505304029,
AUT,CPIFORECAST,TOT,AGRWTH,A,2020,1.585564466,
AUT,CPIFORECAST,TOT,AGRWTH,A,2021,1.65,
BEL,CPIFORECAST,TOT,AGRWTH,A,2015,0.619654536,
BEL,CPIFORECAST,TOT,AGRWTH,A,2016,1.77001475,
BEL,CPIFORECAST,TOT,AGRWTH,A,2017,2.223987292,
BEL,CPIFORECAST,TOT,AGRWTH,A,2018,2.310976538,
BEL,CPIFORECAST,TOT,AGRWTH,A,2019,1.272634427,
BEL,CPIFORECAST,TOT,AGRWTH,A,2020,1.144054299,
BEL,CPIFORECAST,TOT,AGRWTH,A,2021,1.522846621,
FIN,CPIFORECAST,TOT,AGRWTH,A,2015,-0.155590871,
FIN,CPIFORECAST,TOT,AGRWTH,A,2016,0.389166667,
FIN,CPIFORECAST,TOT,AGRWTH,A,2017,0.839233981,
FIN,CPIFORECAST,TOT,AGRWTH,A,2018,1.168935937,
FIN,CPIFORECAST,TOT,AGRWTH,A,2019,1.178952056,
FIN,CPIFORECAST,TOT,AGRWTH,A,2020,1.37828817,
FIN,CPIFORECAST,TOT,AGRWTH,A,2021,1.666847889,
FRA,CPIFORECAST,TOT,AGRWTH,A,2015,0.086741119,
FRA,CPIFORECAST,TOT,AGRWTH,A,2016,0.304997458,
FRA,CPIFORECAST,TOT,AGRWTH,A,2017,1.162278698,
FRA,CPIFORECAST,TOT,AGRWTH,A,2018,2.099108125,
FRA,CPIFORECAST,TOT,AGRWTH,A,2019,1.304822167,
FRA,CPIFORECAST,TOT,AGRWTH,A,2020,1.172867135,
FRA,CPIFORECAST,TOT,AGRWTH,A,2021,1.306007916,
DEU,CPIFORECAST,TOT,AGRWTH,A,2015,0.679644236,
DEU,CPIFORECAST,TOT,AGRWTH,A,2016,0.366697225,
DEU,CPIFORECAST,TOT,AGRWTH,A,2017,1.702233663,
DEU,CPIFORECAST,TOT,AGRWTH,A,2018,1.935009796,
DEU,CPIFORECAST,TOT,AGRWTH,A,2019,1.288666774,
DEU,CPIFORECAST,TOT,AGRWTH,A,2020,1.185587351,
DEU,CPIFORECAST,TOT,AGRWTH,A,2021,1.456415387,
GRC,CPIFORECAST,TOT,AGRWTH,A,2015,-1.09372038,
GRC,CPIFORECAST,TOT,AGRWTH,A,2016,0.013333111,
GRC,CPIFORECAST,TOT,AGRWTH,A,2017,1.138162609,
GRC,CPIFORECAST,TOT,AGRWTH,A,2018,0.774401899,
GRC,CPIFORECAST,TOT,AGRWTH,A,2019,0.417873915,
GRC,CPIFORECAST,TOT,AGRWTH,A,2020,0.389703958,
GRC,CPIFORECAST,TOT,AGRWTH,A,2021,0.862168575,
IRL,CPIFORECAST,TOT,AGRWTH,A,2015,-0.033322226,
IRL,CPIFORECAST,TOT,AGRWTH,A,2016,-0.208333333,
IRL,CPIFORECAST,TOT,AGRWTH,A,2017,0.258872651,
IRL,CPIFORECAST,TOT,AGRWTH,A,2018,0.716308512,
IRL,CPIFORECAST,TOT,AGRWTH,A,2019,0.886509458,
IRL,CPIFORECAST,TOT,AGRWTH,A,2020,1.691623866,
IRL,CPIFORECAST,TOT,AGRWTH,A,2021,2.214881808,
ITA,CPIFORECAST,TOT,AGRWTH,A,2015,0.10845987,
ITA,CPIFORECAST,TOT,AGRWTH,A,2016,-0.050004167,
ITA,CPIFORECAST,TOT,AGRWTH,A,2017,1.325773368,
ITA,CPIFORECAST,TOT,AGRWTH,A,2018,1.242593811,
ITA,CPIFORECAST,TOT,AGRWTH,A,2019,0.60259602,
ITA,CPIFORECAST,TOT,AGRWTH,A,2020,0.639194809,
ITA,CPIFORECAST,TOT,AGRWTH,A,2021,1.180598313,
LUX,CPIFORECAST,TOT,AGRWTH,A,2015,0.058366894,
LUX,CPIFORECAST,TOT,AGRWTH,A,2016,0.038333014,
LUX,CPIFORECAST,TOT,AGRWTH,A,2017,2.109173907,
LUX,CPIFORECAST,TOT,AGRWTH,A,2018,2.015842843,
LUX,CPIFORECAST,TOT,AGRWTH,A,2019,1.694652279,
LUX,CPIFORECAST,TOT,AGRWTH,A,2020,1.669468662,
LUX,CPIFORECAST,TOT,AGRWTH,A,2021,1.796997319,
NLD,CPIFORECAST,TOT,AGRWTH,A,2015,0.212112102,
NLD,CPIFORECAST,TOT,AGRWTH,A,2016,0.104164931,
NLD,CPIFORECAST,TOT,AGRWTH,A,2017,1.293630907,
NLD,CPIFORECAST,TOT,AGRWTH,A,2018,1.600907289,
NLD,CPIFORECAST,TOT,AGRWTH,A,2019,2.674708406,
NLD,CPIFORECAST,TOT,AGRWTH,A,2020,1.829908415,
NLD,CPIFORECAST,TOT,AGRWTH,A,2021,1.4657217,
PRT,CPIFORECAST,TOT,AGRWTH,A,2015,0.507563194,
PRT,CPIFORECAST,TOT,AGRWTH,A,2016,0.635833333,
PRT,CPIFORECAST,TOT,AGRWTH,A,2017,1.555940147,
PRT,CPIFORECAST,TOT,AGRWTH,A,2018,1.167626096,
PRT,CPIFORECAST,TOT,AGRWTH,A,2019,0.304811711,
PRT,CPIFORECAST,TOT,AGRWTH,A,2020,0.531232207,
PRT,CPIFORECAST,TOT,AGRWTH,A,2021,0.975057614,
SVK,CPIFORECAST,TOT,AGRWTH,A,2015,-0.343813842,
SVK,CPIFORECAST,TOT,AGRWTH,A,2016,-0.481666667,
SVK,CPIFORECAST,TOT,AGRWTH,A,2017,1.390866005,
SVK,CPIFORECAST,TOT,AGRWTH,A,2018,2.532973249,
SVK,CPIFORECAST,TOT,AGRWTH,A,2019,2.847498745,
SVK,CPIFORECAST,TOT,AGRWTH,A,2020,2.57744829,
SVK,CPIFORECAST,TOT,AGRWTH,A,2021,2.48957601,
ESP,CPIFORECAST,TOT,AGRWTH,A,2015,-0.629347466,
ESP,CPIFORECAST,TOT,AGRWTH,A,2016,-0.336666667,
ESP,CPIFORECAST,TOT,AGRWTH,A,2017,2.036021272,
ESP,CPIFORECAST,TOT,AGRWTH,A,2018,1.735624555,
ESP,CPIFORECAST,TOT,AGRWTH,A,2019,0.826628583,
ESP,CPIFORECAST,TOT,AGRWTH,A,2020,1.057665855,
ESP,CPIFORECAST,TOT,AGRWTH,A,2021,1.321971616,
GBR,CPIFORECAST,TOT,AGRWTH,A,2015,0.050020842,
GBR,CPIFORECAST,TOT,AGRWTH,A,2016,0.641613199,
GBR,CPIFORECAST,TOT,AGRWTH,A,2017,2.690842855,
GBR,CPIFORECAST,TOT,AGRWTH,A,2018,2.47520761,
GBR,CPIFORECAST,TOT,AGRWTH,A,2019,1.901438373,
GBR,CPIFORECAST,TOT,AGRWTH,A,2020,2.033942206,
GBR,CPIFORECAST,TOT,AGRWTH,A,2021,1.819389766,
EST,CPIFORECAST,TOT,AGRWTH,A,2015,0.067545593,
EST,CPIFORECAST,TOT,AGRWTH,A,2016,0.8,
EST,CPIFORECAST,TOT,AGRWTH,A,2017,3.650793651,
EST,CPIFORECAST,TOT,AGRWTH,A,2018,3.412136294,
EST,CPIFORECAST,TOT,AGRWTH,A,2019,2.229709496,
EST,CPIFORECAST,TOT,AGRWTH,A,2020,2.305306209,
EST,CPIFORECAST,TOT,AGRWTH,A,2021,2.237314731,
LVA,CPIFORECAST,TOT,AGRWTH,A,2015,0.212948967,
LVA,CPIFORECAST,TOT,AGRWTH,A,2016,0.099165014,
LVA,CPIFORECAST,TOT,AGRWTH,A,2017,2.893748803,
LVA,CPIFORECAST,TOT,AGRWTH,A,2018,2.554269116,
LVA,CPIFORECAST,TOT,AGRWTH,A,2019,2.905565797,
LVA,CPIFORECAST,TOT,AGRWTH,A,2020,2.30047694,
LVA,CPIFORECAST,TOT,AGRWTH,A,2021,2.349654676,
SVN,CPIFORECAST,TOT,AGRWTH,A,2015,-0.763301963,
SVN,CPIFORECAST,TOT,AGRWTH,A,2016,-0.153334611,
SVN,CPIFORECAST,TOT,AGRWTH,A,2017,1.556566373,
SVN,CPIFORECAST,TOT,AGRWTH,A,2018,1.933760683,
SVN,CPIFORECAST,TOT,AGRWTH,A,2019,1.844559984,
SVN,CPIFORECAST,TOT,AGRWTH,A,2020,2.358689585,
SVN,CPIFORECAST,TOT,AGRWTH,A,2021,2.3,
ARG,CPIFORECAST,TOT,AGRWTH,A,2015,27.70000002,
ARG,CPIFORECAST,TOT,AGRWTH,A,2016,40.7,
ARG,CPIFORECAST,TOT,AGRWTH,A,2017,28.55844447,
ARG,CPIFORECAST,TOT,AGRWTH,A,2018,36.27432753,
ARG,CPIFORECAST,TOT,AGRWTH,A,2019,46.01105752,
ARG,CPIFORECAST,TOT,AGRWTH,A,2020,45.28169664,
ARG,CPIFORECAST,TOT,AGRWTH,A,2021,41.7171652,
CRI,CPIFORECAST,TOT,AGRWTH,A,2015,0.801857162,
CRI,CPIFORECAST,TOT,AGRWTH,A,2016,-0.017471924,
CRI,CPIFORECAST,TOT,AGRWTH,A,2017,1.625723304,
CRI,CPIFORECAST,TOT,AGRWTH,A,2018,2.221198275,
CRI,CPIFORECAST,TOT,AGRWTH,A,2019,2.285247772,
CRI,CPIFORECAST,TOT,AGRWTH,A,2020,2.505006076,
CRI,CPIFORECAST,TOT,AGRWTH,A,2021,2.381899302,
LTU,CPIFORECAST,TOT,AGRWTH,A,2015,-0.677051433,
LTU,CPIFORECAST,TOT,AGRWTH,A,2016,0.678333333,
LTU,CPIFORECAST,TOT,AGRWTH,A,2017,3.718112139,
LTU,CPIFORECAST,TOT,AGRWTH,A,2018,2.531403125,
LTU,CPIFORECAST,TOT,AGRWTH,A,2019,2.288824487,
LTU,CPIFORECAST,TOT,AGRWTH,A,2020,2.233428085,
LTU,CPIFORECAST,TOT,AGRWTH,A,2021,2.235039274,
EA17,CPIFORECAST,TOT,AGRWTH,A,2015,0.184641949,
EA17,CPIFORECAST,TOT,AGRWTH,A,2016,0.240891364,
EA17,CPIFORECAST,TOT,AGRWTH,A,2017,1.528207389,
EA17,CPIFORECAST,TOT,AGRWTH,A,2018,1.761301635,
EA17,CPIFORECAST,TOT,AGRWTH,A,2019,1.168101606,
EA17,CPIFORECAST,TOT,AGRWTH,A,2020,1.118827493,
EA17,CPIFORECAST,TOT,AGRWTH,A,2021,1.37880127,
