,location,indicator,SUBJECT,MEASURE,FREQUENCY,TIME,TIME.1,Value
34,HUN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,4.082501328999999
35,ISL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,1.6330584819999998
36,ISL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.696930239
37,ISL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.760412791
38,ISL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.682915085
39,ISL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.030161998
40,ISL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.352532756
41,ISL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.090656097
42,JPN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.78951789
43,JPN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.11666666699999999
44,JPN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,0.467211747
45,JPN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.988207939
47,JPN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.064059775
48,JPN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.248417783
49,KOR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.70620817
50,KOR,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.9716747640000001
51,KOR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.9444559069999998
52,KOR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.4758624040000001
53,KOR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.283080205
54,KOR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.050693213
55,KOR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.428059042
56,MEX,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,2.720641263
58,MEX,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,6.041455823
59,MEX,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,4.899350966
60,MEX,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.546401294
61,MEX,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.702124135
62,MEX,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.712467935
63,NZL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.29270330899999997
64,NZL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.646237225
65,NZL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.8507870709999998
66,NZL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.59829795
67,NZL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.5493068540000001
68,NZL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.862161804
69,NZL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.8813318819999998
70,NOR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,2.171136654
71,NOR,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,3.55
72,NOR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.8831482380000002
73,NOR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.7488151660000004
74,NOR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.323944159
75,NOR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.9576598330000001
76,NOR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.17511029
77,POL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.8741258740000001
78,POL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.664767331
79,POL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.075935537
80,POL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.8129515630000002
81,POL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.29068452
82,POL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.913684297
83,POL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.82752777
84,SWE,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.046784745
85,SWE,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.984269245
86,SWE,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.794499047
87,SWE,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.9535353009999998
88,SWE,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.778803502
89,SWE,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.797385408
90,SWE,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.8121864909999998
91,CHE,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-1.1439006440000001
92,CHE,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.434607639
94,CHE,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.9363133029999999
95,CHE,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.426366642
96,CHE,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,0.380730344
97,CHE,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,0.9669868159999999
98,TUR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,7.670853648
99,TUR,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,7.775134153
100,TUR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,11.14431108
101,TUR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,16.3324639
102,TUR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,15.76441219
103,TUR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,13.16470621
104,TUR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,10.02174411
105,USA,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.119482641
106,USA,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.270018643
107,USA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.135937971
108,USA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.4354010219999997
109,USA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.7828022959999998
110,USA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.167572832
111,USA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.106976456
112,BRA,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,9.029884313
113,BRA,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,8.739133045
115,BRA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,3.664850284
116,BRA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.7027666669999997
117,BRA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,3.1303268789999996
118,BRA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,3.6382559110000003
119,CHL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,4.348773532
120,CHL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,3.7861935589999995
121,CHL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.182718469
122,CHL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.434889814
123,CHL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.429884946
124,CHL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.513638162
125,CHL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,3.0088140310000004
126,CHN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,1.542431703
127,CHN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,2.120335249
128,CHN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.517565963
129,CHN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.926824712
130,CHN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.5323208790000002
131,CHN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.206980138
132,CHN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.925248148
133,IND,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,4.901577391
134,IND,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,4.521894354
135,IND,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,3.583743802
136,IND,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,3.413919457
137,IND,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.482423471
139,IND,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,4.150734568
140,IDN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,6.363121131000001
141,IDN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,3.5258051569999997
142,IDN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,3.80879807
143,IDN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,3.198346416
144,IDN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.2005135780000002
145,IDN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,3.485654218
146,IDN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,3.3841461230000003
147,ISR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.632490013
148,ISR,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.54438861
149,ISR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,0.244210526
150,ISR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.814852151
151,ISR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.8782532679999999
152,ISR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.082216366
153,ISR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.689428893
154,RUS,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,15.53439931
155,RUS,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,7.042435565
156,RUS,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,3.683334392
157,RUS,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.8783053780000003
158,RUS,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,4.871229973999999
159,RUS,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,3.9975339539999997
160,RUS,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,4.037932969
161,ZAF,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,4.575163399
162,ZAF,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,6.34057971
163,ZAF,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,5.272572402
164,ZAF,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,4.620114895
165,ZAF,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,4.189067957
166,ZAF,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,4.588729805
167,ZAF,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,4.544926929
168,OECD,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.704720225
169,OECD,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.030585361
170,OECD,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.20299433
171,OECD,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.579015713
172,OECD,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.970176304
173,OECD,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.161702432
174,OECD,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.183991858
175,COL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,4.9901086160000006
176,COL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,7.513087822
177,COL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,4.314758507
178,COL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,3.2406161589999996
179,COL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.498602643
180,COL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,3.5979947230000002
181,COL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,3.0123482860000004
182,AUT,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.804757985
183,AUT,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.970833333
184,AUT,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.23084224
185,AUT,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.1199987080000002
186,AUT,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.5053040290000002
187,AUT,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.585564466
188,AUT,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.65
189,BEL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.619654536
190,BEL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.77001475
191,BEL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.223987292
192,BEL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.3109765380000002
193,BEL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.272634427
194,BEL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.144054299
195,BEL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.522846621
196,FIN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.155590871
197,FIN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.389166667
198,FIN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,0.8392339809999999
199,FIN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.168935937
200,FIN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.178952056
201,FIN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.37828817
202,FIN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.666847889
203,FRA,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.086741119
204,FRA,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.304997458
205,FRA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.162278698
206,FRA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.099108125
207,FRA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.304822167
208,FRA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.172867135
209,FRA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.306007916
210,DEU,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.6796442359999999
211,DEU,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.366697225
212,DEU,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.7022336630000001
213,DEU,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.935009796
214,DEU,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.288666774
215,DEU,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.185587351
216,DEU,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.4564153869999998
217,GRC,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-1.09372038
218,GRC,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.013333111000000002
219,GRC,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.138162609
220,GRC,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.774401899
221,GRC,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.417873915
222,GRC,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,0.38970395799999996
223,GRC,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,0.862168575
224,IRL,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.033322226
225,IRL,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.208333333
226,IRL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,0.258872651
227,IRL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.716308512
228,IRL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.8865094579999999
229,IRL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.691623866
230,IRL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.2148818080000003
231,ITA,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.10845987
232,ITA,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.050004167
233,ITA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.325773368
234,ITA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.2425938109999999
235,ITA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.60259602
236,ITA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,0.639194809
237,ITA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.180598313
238,LUX,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.058366894
239,LUX,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.038333014
240,LUX,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.1091739069999997
241,LUX,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.015842843
242,LUX,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.694652279
243,LUX,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.6694686619999999
244,LUX,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.7969973190000001
245,NLD,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.212112102
246,NLD,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.104164931
247,NLD,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.293630907
248,NLD,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.600907289
249,NLD,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.674708406
250,NLD,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.829908415
251,NLD,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.4657216999999998
252,PRT,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.5075631939999999
253,PRT,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.635833333
254,PRT,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.5559401469999998
255,PRT,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.167626096
256,PRT,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.30481171100000004
257,PRT,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,0.5312322070000001
258,PRT,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,0.975057614
259,SVK,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.34381384200000004
260,SVK,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.48166666700000005
261,SVK,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.390866005
262,SVK,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.532973249
263,SVK,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.847498745
264,SVK,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.57744829
265,SVK,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.48957601
266,ESP,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.629347466
267,ESP,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.33666666700000003
268,ESP,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.0360212719999997
269,ESP,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.735624555
270,ESP,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.826628583
271,ESP,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.057665855
272,ESP,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.321971616
273,GBR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.050020842
274,GBR,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.641613199
275,GBR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.690842855
276,GBR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.47520761
277,GBR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.9014383730000002
278,GBR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.033942206
279,GBR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.819389766
280,EST,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.067545593
281,EST,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.8
282,EST,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,3.6507936510000003
283,EST,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,3.4121362939999997
284,EST,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.229709496
285,EST,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.3053062090000003
286,EST,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.237314731
287,LVA,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.212948967
288,LVA,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.09916501400000001
289,LVA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.8937488030000003
290,LVA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.554269116
291,LVA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.905565797
292,LVA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.30047694
293,LVA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.349654676
294,SVN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.763301963
295,SVN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.153334611
296,SVN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.5565663730000001
297,SVN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.933760683
298,SVN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.844559984
299,SVN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.358689585
300,SVN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.3
301,ARG,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,27.70000002
302,ARG,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,40.7
303,ARG,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,28.55844447
304,ARG,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,36.27432753
305,ARG,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,46.01105752
306,ARG,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,45.28169664
307,ARG,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,41.717165200000004
308,CRI,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.801857162
309,CRI,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,-0.017471924
310,CRI,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.625723304
311,CRI,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.221198275
312,CRI,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.285247772
313,CRI,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.505006076
314,CRI,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.381899302
315,LTU,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.6770514329999999
316,LTU,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.678333333
317,LTU,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,3.7181121389999996
318,LTU,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.531403125
